num,Date,Open
239,2015-08-28,13
240,2015-08-29,6
241,2015-08-30,15
242,2015-08-31,14
243,2015-09-01,17
244,2015-09-02,12
245,2015-09-03,11
246,2015-09-04,14
247,2015-09-05,9
248,2015-09-06,10
249,2015-09-07,12
250,2015-09-08,13
251,2015-09-09,12
252,2015-09-10,12
253,2015-09-11,15
254,2015-09-12,20
255,2015-09-13,14
256,2015-09-14,9
257,2015-09-15,12
258,2015-09-16,8
259,2015-09-17,7
260,2015-09-18,12
261,2015-09-19,16
262,2015-09-20,10
263,2015-09-21,20
264,2015-09-22,15
265,2015-09-23,12
266,2015-09-24,11
267,2015-09-25,14
268,2015-09-26,9
269,2015-09-27,12
270,2015-09-28,7
271,2015-09-29,10
272,2015-09-30,12
273,2015-10-01,8
274,2015-10-02,16
275,2015-10-03,20
276,2015-10-04,15
277,2015-10-05,15
278,2015-10-06,18
279,2015-10-07,14
280,2015-10-08,14
281,2015-10-09,13
282,2015-10-10,12
283,2015-10-11,12
284,2015-10-12,15
285,2015-10-13,12
286,2015-10-14,21
287,2015-10-15,8
288,2015-10-16,18
289,2015-10-17,15
290,2015-10-18,14
291,2015-10-19,18
292,2015-10-20,16
293,2015-10-21,20
294,2015-10-22,12
295,2015-10-23,23
296,2015-10-24,17
297,2015-10-25,15
298,2015-10-26,13
299,2015-10-27,12
300,2015-10-28,12
301,2015-10-29,17
302,2015-10-30,13
303,2015-10-31,7
304,2015-11-01,12
305,2015-11-02,7
306,2015-11-03,12
307,2015-11-04,16
308,2015-11-05,12
309,2015-11-06,15
310,2015-11-07,23
311,2015-11-08,25
312,2015-11-09,15
313,2015-11-10,17
314,2015-11-11,9
315,2015-11-12,13
316,2015-11-13,11
317,2015-11-14,12
318,2015-11-15,9
319,2015-11-16,11
320,2015-11-17,16
321,2015-11-18,12
322,2015-11-19,14
323,2015-11-20,15
324,2015-11-21,11
325,2015-11-22,11
326,2015-11-23,15
327,2015-11-24,9
328,2015-11-25,13
329,2015-11-26,19
330,2015-11-27,10
331,2015-11-28,12
332,2015-11-29,13
333,2015-11-30,12
334,2015-12-01,17
335,2015-12-02,12
336,2015-12-03,11
337,2015-12-04,9
338,2015-12-05,5
339,2015-12-06,14
340,2015-12-07,22
341,2015-12-08,10
342,2015-12-09,16
343,2015-12-10,9
344,2015-12-11,12
345,2015-12-12,16
346,2015-12-13,12
347,2015-12-14,6
348,2015-12-15,13
349,2015-12-16,10
350,2015-12-17,11
351,2015-12-18,17
352,2015-12-19,10
353,2015-12-20,9
354,2015-12-21,18
355,2015-12-22,11
356,2015-12-23,13
357,2015-12-24,13
358,2015-12-25,11
359,2015-12-26,17
360,2015-12-27,8
